,data_name,data_size,RF_size,DL_size,RF_pred_size_mean,RF_pred_size_max,RF_pred_size_min,DL_pred_size_mean,DL_pred_size_max,DL_pred_size_min,RF_trace_size_mean,RF_trace_size_max,RF_trace_size_min,DL_trace_size_mean,DL_trace_size_max,DL_trace_size_min
0,calhouse,20640,7169,7018,5,5,5,4.759156976744186,5,1,54.92407945736434,55,36,50.91371124031008,51,29
1,boston,506,1839,1645,5,5,5,2.494071146245059,5,1,50.41304347826087,55,21,45.64624505928854,51,17
2,diabetes,442,1869,1673,5,5,5,2.2081447963800906,5,1,49.255656108597286,55,33,43.9027149321267,50,27
3,adult,32561,4311,4128,5,5,5,4.7983784281809525,5,1,54.06483216117441,55,32,46.55286999785019,49,29
4,amazon,32769,3161,2846,5,5,5,4.638255668467149,5,1,53.90991485855534,55,35,47.10018615154567,48,11
5,bank,45211,4597,4511,5,5,5,4.9559620446351556,5,1,54.63893742673243,55,33,48.49899360775033,49,24
6,breast,699,301,281,5,5,5,3.917024320457797,5,1,28.38340486409156,42,21,18.640915593705294,38,9
7,heart,920,1273,1189,5,5,5,4.251086956521739,5,1,46.32717391304348,55,26,38.03695652173913,50,23
8,kick,72983,4147,3820,5,5,5,4.972007179754189,5,1,54.787128509378896,55,28,50.700519299014836,51,28
9,mammograph,961,1133,1049,5,5,5,2.9937565036420395,5,1,48.925078043704474,55,28,41.11862643080125,49,19
10,seismic,2584,1287,1199,5,5,5,4.62577399380805,5,1,48.146671826625386,55,31,41.663699690402474,50,24
