,data_name,data_size,RF_size,DL_size,RF_pred_size_mean,RF_pred_size_max,RF_pred_size_min,DL_pred_size_mean,DL_pred_size_max,DL_pred_size_min,RF_trace_size_mean,RF_trace_size_max,RF_trace_size_min,DL_trace_size_mean,DL_trace_size_max,DL_trace_size_min
0,calhouse,20640,14376,13835,10,10,10,8.996172480620155,10,1,109.8468023255814,110,71,99.22979651162791,100,50
1,boston,506,3596,2994,10,10,10,2.802371541501976,10,1,100.99802371541502,110,48,89.61067193675889,101,31
2,diabetes,442,3706,3106,10,10,10,1.8981900452488687,10,1,99.23755656108597,110,71,85.8710407239819,98,57
3,adult,32561,8634,8132,10,10,10,9.357237185590122,10,1,107.78194772887811,110,72,91.51816590399558,96,53
4,amazon,32769,5850,5297,10,10,10,8.732033324178339,10,1,108.10574018126889,110,67,92.10494674845128,94,33
5,bank,45211,9334,9075,10,10,10,9.799053327729977,10,1,109.2478821525735,110,79,96.08829709583951,97,59
6,breast,699,588,536,10,10,10,6.736766809728183,10,1,56.59656652360515,86,44,38.84692417739628,70,24
7,heart,920,2578,2248,10,10,10,7.210869565217391,10,1,91.07282608695652,110,60,71.6945652173913,94,42
8,kick,72983,8244,7557,10,10,10,9.875669676500006,10,1,109.5826288313717,110,57,95.84869079100612,97,51
9,mammograph,961,2250,1982,10,10,10,3.9094693028095735,10,1,95.28720083246618,110,56,75.09053069719043,93,35
10,seismic,2584,2618,2309,10,10,10,8.48374613003096,10,1,95.73800309597523,110,66,79.97058823529412,96,48
